os_name,average_bitrate,average_bitrate
Android,144.0,2464
Android,183.0,1
Android,196.0,15
Android,222.0,1201
Android,248.0,27
Android,258.0,1
Android,274.0,3
Android,296.0,1
Android,297.0,1
Android,300.0,9023
Android,325.0,1
Android,333.0,64
Android,336.0,4
Android,343.0,1
Android,345.0,1
Android,348.0,5
Android,350.0,70
Android,360.0,1
Android,362.0,1
Android,367.0,14
Android,372.0,20
Android,375.0,26482
Android,390.0,1
Android,392.0,7
Android,398.0,1
Android,400.0,10637
Android,408.0,1
Android,411.0,3
Android,416.0,1
Android,420.0,1
Android,427.0,1
Android,433.0,3
Android,440.0,1
Android,447.0,1
Android,448.0,1
Android,450.0,222
Android,451.0,26
Android,467.0,1269
Android,475.0,2
Android,480.0,7
Android,489.0,1
Android,492.0,1
Android,496.0,1
Android,500.0,10489
Android,509.0,1
Android,510.0,5
Android,514.0,1
Android,515.0,1
Android,520.0,21
Android,525.0,191
Android,532.0,9
Android,533.0,2367
Android,540.0,8
Android,543.0,2
Android,548.0,3
Android,550.0,267
Android,556.0,1
Android,560.0,6
Android,567.0,814
Android,569.0,1
Android,571.0,1
Android,575.0,94
Android,580.0,1
Android,583.0,3
Android,584.0,1
Android,586.0,1
Android,589.0,1
Android,599.0,2
Android,600.0,55696
Android,614.0,1
Android,620.0,9
Android,622.0,1
Android,625.0,918
Android,627.0,1
Android,628.0,19
Android,629.0,2
Android,633.0,320
Android,638.0,1
Android,640.0,11
Android,643.0,2
Android,648.0,1
Android,650.0,1355
Android,657.0,1
Android,660.0,20
Android,662.0,1
Android,667.0,245
Android,671.0,1
Android,672.0,11
Android,675.0,9
Android,680.0,7
Android,686.0,5
Android,688.0,485
Android,689.0,1
Android,690.0,1
Android,700.0,673
Android,711.0,1
Android,713.0,1
Android,717.0,1
Android,720.0,13
Android,725.0,45
Android,729.0,4
Android,733.0,163
Android,738.0,2
Android,740.0,1
Android,743.0,3
Android,744.0,1
Android,750.0,389
Android,757.0,1
Android,760.0,39
Android,767.0,8
Android,771.0,2
Android,775.0,35
Android,780.0,6
Android,783.0,5
Android,800.0,186
Android,814.0,1
Android,820.0,19
Android,825.0,7
Android,833.0,19
Android,836.0,1
Android,838.0,1
Android,848.0,13
Android,850.0,24
Android,854.0,2
Android,858.0,1
Android,860.0,10
Android,863.0,1
Android,867.0,33
Android,870.0,1
Android,871.0,1
Android,875.0,70
Android,880.0,9
Android,883.0,1
Android,888.0,1
Android,900.0,414
Android,914.0,1
Android,920.0,4
Android,922.0,1
Android,925.0,5
Android,933.0,13
Android,938.0,2
Android,940.0,1
Android,943.0,1
Android,950.0,12
Android,967.0,20
Android,975.0,2
Android,980.0,1
Android,1000.0,35
Android,1005.0,1
Android,1014.0,3
Android,1020.0,17
Android,1033.0,17
Android,1043.0,1
Android,1050.0,15
Android,1060.0,1
Android,1075.0,1
Android,1084.0,1
Android,1100.0,37
Android,1117.0,1
Android,1125.0,9
Android,1156.0,1
Android,1167.0,1
Android,1175.0,7
Android,1177.0,1
Android,1183.0,1
Android,1193.0,1
Android,1200.0,1064
Android,1250.0,11
Android,1267.0,3
Android,1300.0,1
Android,1320.0,480
Android,1338.0,1
Android,1367.0,1
Android,1380.0,1
Android,1400.0,2
Android,1460.0,1
Android,1500.0,174
Android,1600.0,26
Android,1800.0,1
Android,2300.0,1
Android,2475.0,1
Android,2800.0,2
Android,3250.0,1
Android,3256.0,1
Android,4150.0,1
Android,4266.0,1
Android,8815.0,1
Android,12859.0,1
Android,17021.0,1
Android,18263.0,1
Android,20439.0,1
Android,21279.0,1
Android,25780.0,1
Android,26057.0,1
Android,31371.0,1
Android,32478.0,1
Android,35215.0,1
Android,39799.0,1
Android,43600.0,1
Android,47684.0,1
Android,51530.0,1
Android,60300.0,2
Android,61870.0,1
Android,66293.0,1
Android,68173.0,1
Android,75281.0,2
Android,90263.0,1
Android,100250.0,1
Android,106492.0,1
Android,126977.0,1
Android,133542.0,1
Android,155602.0,1
Android,163807.0,1
Android,186238.0,1
Android,200125.0,1
Android,233417.0,2
Android,265428.0,1
Android,272761.0,1
Android,300000.0,156090
BlackBerry OS,300000.0,13
Chrome OS,300.0,3
Chrome OS,375.0,3
Chrome OS,400.0,1
Chrome OS,450.0,1
Chrome OS,500.0,2
Chrome OS,550.0,1
Chrome OS,600.0,4
Chrome OS,650.0,1
Chrome OS,660.0,1
Chrome OS,700.0,5
Chrome OS,750.0,1
Chrome OS,900.0,1
Chrome OS,1200.0,11
Chrome OS,1320.0,6
Chrome OS,300000.0,5
Fedora,1320.0,1
Firefox OS,400.0,1
Linux,300.0,4
Linux,375.0,27
Linux,451.0,1
Linux,500.0,3
Linux,550.0,1
Linux,567.0,1
Linux,600.0,15
Linux,625.0,1
Linux,628.0,1
Linux,650.0,1
Linux,667.0,2
Linux,700.0,54
Linux,720.0,1
Linux,750.0,1
Linux,775.0,1
Linux,800.0,2
Linux,833.0,1
Linux,900.0,8
Linux,1200.0,62
Linux,1320.0,32
Linux,1500.0,8
Linux,2800.0,1
Linux,300000.0,490
Mac OS X,144.0,1
Mac OS X,300.0,31
Mac OS X,375.0,63
Mac OS X,400.0,5
Mac OS X,448.0,2
Mac OS X,450.0,1
Mac OS X,467.0,1
Mac OS X,500.0,4
Mac OS X,510.0,1
Mac OS X,533.0,1
Mac OS X,550.0,4
Mac OS X,567.0,2
Mac OS X,600.0,71
Mac OS X,625.0,2
Mac OS X,640.0,1
Mac OS X,650.0,29
Mac OS X,667.0,10
Mac OS X,700.0,211
Mac OS X,725.0,2
Mac OS X,733.0,2
Mac OS X,750.0,2
Mac OS X,775.0,1
Mac OS X,800.0,8
Mac OS X,811.0,1
Mac OS X,833.0,2
Mac OS X,875.0,1
Mac OS X,880.0,2
Mac OS X,900.0,41
Mac OS X,925.0,1
Mac OS X,933.0,2
Mac OS X,950.0,2
Mac OS X,1000.0,1
Mac OS X,1033.0,2
Mac OS X,1050.0,3
Mac OS X,1100.0,2
Mac OS X,1200.0,270
Mac OS X,1220.0,1
Mac OS X,1240.0,1
Mac OS X,1250.0,1
Mac OS X,1280.0,1
Mac OS X,1320.0,108
Mac OS X,1410.0,1
Mac OS X,1500.0,23
Mac OS X,1600.0,12
Mac OS X,3000.0,1
Mac OS X,300000.0,1146
Other,167.0,1
Other,348.0,1
Other,366.0,806
Other,390.0,1
Other,394.0,1
Other,399.0,2
Other,401.0,1
Other,410.0,1
Other,427.0,2
Other,447.0,1
Other,453.0,2
Other,455.0,1
Other,464.0,2
Other,468.0,1
Other,477.0,1
Other,483.0,1
Other,488.0,11
Other,497.0,1
Other,500.0,1
Other,505.0,1
Other,512.0,1
Other,519.0,1
Other,523.0,1
Other,527.0,2
Other,529.0,1
Other,532.0,1
Other,549.0,2
Other,551.0,1
Other,557.0,1
Other,561.0,2
Other,567.0,1
Other,569.0,1
Other,574.0,1
Other,575.0,3
Other,586.0,2
Other,591.0,1
Other,597.0,2
Other,600.0,1
Other,610.0,415
Other,616.0,1
Other,617.0,1
Other,620.0,1
Other,624.0,1
Other,628.0,1
Other,630.0,2
Other,634.0,1
Other,635.0,2
Other,640.0,1
Other,641.0,2
Other,657.0,1
Other,666.0,1
Other,671.0,248
Other,673.0,1
Other,674.0,2
Other,680.0,1
Other,683.0,1
Other,685.0,1
Other,688.0,1
Other,690.0,1
Other,702.0,1
Other,704.0,1
Other,713.0,1
Other,725.0,1
Other,727.0,18
Other,728.0,20
Other,732.0,2
Other,735.0,3
Other,736.0,1
Other,737.0,1
Other,750.0,4
Other,752.0,1
Other,757.0,1
Other,759.0,1
Other,767.0,1
Other,769.0,6
Other,774.0,1
Other,778.0,2
Other,781.0,1
Other,783.0,1
Other,797.0,2
Other,798.0,1
Other,805.0,6
Other,811.0,1
Other,813.0,1
Other,818.0,1
Other,820.0,1
Other,824.0,1
Other,826.0,1
Other,828.0,1
Other,834.0,2
Other,835.0,1
Other,838.0,1
Other,844.0,1
Other,849.0,2
Other,854.0,1
Other,859.0,2
Other,860.0,1
Other,862.0,1
Other,865.0,1
Other,866.0,1
Other,867.0,1
Other,869.0,1
Other,873.0,1
Other,879.0,1
Other,881.0,1
Other,887.0,1
Other,891.0,4
Other,895.0,1
Other,899.0,1
Other,903.0,1
Other,915.0,15
Other,920.0,2
Other,929.0,1
Other,933.0,1
Other,935.0,1
Other,936.0,1
Other,943.0,1
Other,946.0,1
Other,947.0,2
Other,956.0,1
Other,961.0,1
Other,965.0,1
Other,970.0,1
Other,978.0,1
Other,979.0,1
Other,980.0,2
Other,981.0,1
Other,984.0,2
Other,987.0,1
Other,993.0,1
Other,998.0,1
Other,1009.0,1
Other,1017.0,1
Other,1025.0,6
Other,1031.0,2
Other,1037.0,5
Other,1042.0,2
Other,1046.0,1
Other,1050.0,1
Other,1052.0,1
Other,1056.0,1
Other,1058.0,2
Other,1059.0,1
Other,1061.0,1
Other,1064.0,1
Other,1068.0,1
Other,1073.0,1
Other,1076.0,6
Other,1078.0,1
Other,1083.0,4
Other,1084.0,2
Other,1087.0,2
Other,1089.0,1
Other,1098.0,3
Other,1112.0,1
Other,1119.0,1
Other,1121.0,5
Other,1122.0,3
Other,1127.0,1
Other,1141.0,4
Other,1144.0,1
Other,1146.0,1
Other,1147.0,4
Other,1150.0,3
Other,1155.0,1
Other,1157.0,1
Other,1159.0,2
Other,1160.0,1
Other,1163.0,2
Other,1167.0,1
Other,1171.0,645
Other,1176.0,1
Other,1179.0,3
Other,1190.0,4
Other,1195.0,1
Other,1197.0,1
Other,1198.0,2
Other,1200.0,3
Other,1207.0,1
Other,1208.0,1
Other,1211.0,2
Other,1213.0,3
Other,1214.0,1
Other,1218.0,1
Other,1220.0,4
Other,1225.0,2
Other,1226.0,1
Other,1229.0,1
Other,1230.0,4
Other,1234.0,1
Other,1235.0,1
Other,1237.0,2
Other,1244.0,6
Other,1251.0,1
Other,1259.0,1
Other,1263.0,1
Other,1266.0,2
Other,1267.0,1
Other,1268.0,1
Other,1269.0,7
Other,1270.0,1
Other,1278.0,1
Other,1281.0,1
Other,1286.0,1
Other,1288.0,6
Other,1289.0,305
Other,1292.0,2
Other,1293.0,1
Other,1298.0,1
Other,1300.0,1
Other,1304.0,2
Other,1306.0,4
Other,1307.0,4
Other,1308.0,1
Other,1313.0,2
Other,1314.0,1
Other,1318.0,5
Other,1322.0,1
Other,1324.0,3
Other,1327.0,2
Other,1330.0,2
Other,1331.0,2
Other,1333.0,1
Other,1340.0,1
Other,1341.0,1
Other,1342.0,4
Other,1343.0,1
Other,1345.0,1
Other,1347.0,14
Other,1351.0,1
Other,1353.0,2
Other,1354.0,1
Other,1357.0,2
Other,1359.0,4
Other,1361.0,1
Other,1365.0,1
Other,1366.0,5
Other,1367.0,2
Other,1369.0,1
Other,1371.0,5
Other,1372.0,34
Other,1373.0,17
Other,1376.0,1
Other,1377.0,4
Other,1378.0,1
Other,1380.0,3
Other,1384.0,1
Other,1385.0,1
Other,1391.0,5
Other,1393.0,1
Other,1394.0,2
Other,1397.0,2
Other,1398.0,2
Other,1400.0,1
Other,1401.0,1
Other,1403.0,1
Other,1405.0,6
Other,1406.0,4
Other,1413.0,3
Other,1414.0,1
Other,1415.0,3
Other,1419.0,2
Other,1420.0,5
Other,1421.0,1
Other,1422.0,6
Other,1424.0,1
Other,1425.0,1
Other,1426.0,2
Other,1428.0,1
Other,1434.0,1
Other,1435.0,2
Other,1436.0,1
Other,1437.0,1
Other,1438.0,1
Other,1439.0,5
Other,1440.0,3
Other,1441.0,1
Other,1442.0,1
Other,1443.0,4
Other,1445.0,1
Other,1448.0,1
Other,1451.0,1
Other,1452.0,1
Other,1453.0,1
Other,1454.0,1
Other,1455.0,1
Other,1456.0,1
Other,1457.0,1
Other,1458.0,1
Other,1459.0,1
Other,1460.0,1
Other,1464.0,1657
Other,1702.0,1
Other,1783.0,1
Other,1899.0,1
Other,1953.0,1
Other,2030.0,1
Other,2110.0,1
Other,2116.0,1
Other,2121.0,1
Other,2252.0,1
Other,2323.0,1
Other,2340.0,2
Other,2451.0,1
Other,2519.0,1
Other,2688.0,14
Other,2689.0,15
Other,2804.0,1
Other,2821.0,1
Other,2829.0,1
Other,2830.0,1
Other,2836.0,2
Other,2871.0,1
Other,2988.0,1
Other,3020.0,2
Other,3025.0,4
Other,3027.0,2
Other,3036.0,2
Other,3069.0,1
Other,3089.0,1
Other,3237.0,1
Other,3276.0,1
Other,3602.0,4
Other,3603.0,13
Other,6417.0,1
Other,7039.0,3
Other,225366.0,1
Other,268150.0,1
Other,300000.0,193390
REL,300000.0,7180
Symbian^3 Anna,300000.0,1
Tizen,300000.0,187
Ubuntu,300.0,3
Ubuntu,375.0,12
Ubuntu,400.0,1
Ubuntu,500.0,2
Ubuntu,575.0,2
Ubuntu,600.0,4
Ubuntu,650.0,1
Ubuntu,667.0,1
Ubuntu,700.0,23
Ubuntu,850.0,1
Ubuntu,900.0,6
Ubuntu,1200.0,26
Ubuntu,1320.0,19
Ubuntu,1500.0,1
Ubuntu,1600.0,1
Ubuntu,300000.0,8
Windows,144.0,22
Windows,222.0,3
Windows,248.0,2
Windows,266.0,1
Windows,296.0,1
Windows,300.0,209
Windows,354.0,1
Windows,367.0,1
Windows,372.0,37
Windows,375.0,2053
Windows,392.0,1
Windows,400.0,241
Windows,425.0,1
Windows,429.0,1
Windows,448.0,6
Windows,450.0,62
Windows,451.0,5
Windows,467.0,20
Windows,475.0,1
Windows,486.0,1
Windows,496.0,1
Windows,500.0,251
Windows,510.0,2
Windows,514.0,1
Windows,525.0,27
Windows,530.0,1
Windows,533.0,42
Windows,540.0,1
Windows,548.0,1
Windows,550.0,470
Windows,557.0,1
Windows,560.0,5
Windows,567.0,156
Windows,575.0,23
Windows,580.0,4
Windows,600.0,2503
Windows,615.0,1
Windows,617.0,4
Windows,619.0,1
Windows,620.0,12
Windows,625.0,65
Windows,628.0,11
Windows,633.0,71
Windows,635.0,1
Windows,640.0,5
Windows,648.0,2
Windows,650.0,677
Windows,660.0,13
Windows,667.0,372
Windows,671.0,1
Windows,672.0,14
Windows,675.0,64
Windows,678.0,1
Windows,680.0,4
Windows,688.0,19
Windows,700.0,10391
Windows,710.0,1
Windows,717.0,2
Windows,720.0,9
Windows,725.0,58
Windows,729.0,1
Windows,733.0,84
Windows,740.0,5
Windows,743.0,1
Windows,744.0,1
Windows,750.0,111
Windows,757.0,2
Windows,760.0,62
Windows,767.0,54
Windows,771.0,3
Windows,775.0,34
Windows,780.0,8
Windows,783.0,10
Windows,785.0,1
Windows,786.0,2
Windows,794.0,1
Windows,800.0,323
Windows,817.0,2
Windows,820.0,20
Windows,822.0,1
Windows,825.0,8
Windows,833.0,97
Windows,843.0,3
Windows,844.0,1
Windows,848.0,4
Windows,850.0,45
Windows,852.0,1
Windows,854.0,1
Windows,857.0,1
Windows,859.0,1
Windows,860.0,13
Windows,867.0,21
Windows,875.0,52
Windows,880.0,19
Windows,883.0,3
Windows,886.0,5
Windows,888.0,1
Windows,899.0,1
Windows,900.0,1242
Windows,917.0,2
Windows,920.0,7
Windows,925.0,14
Windows,933.0,62
Windows,936.0,1
Windows,940.0,4
Windows,950.0,46
Windows,960.0,1
Windows,967.0,28
Windows,975.0,8
Windows,978.0,1
Windows,980.0,7
Windows,1000.0,73
Windows,1004.0,3
Windows,1017.0,1
Windows,1020.0,15
Windows,1033.0,26
Windows,1040.0,2
Windows,1050.0,88
Windows,1060.0,2
Windows,1067.0,1
Windows,1075.0,5
Windows,1086.0,1
Windows,1100.0,50
Windows,1117.0,2
Windows,1125.0,16
Windows,1133.0,4
Windows,1143.0,1
Windows,1144.0,1
Windows,1157.0,1
Windows,1169.0,1
Windows,1174.0,1
Windows,1175.0,5
Windows,1176.0,1
Windows,1180.0,1
Windows,1186.0,1
Windows,1189.0,1
Windows,1194.0,1
Windows,1200.0,14817
Windows,1238.0,1
Windows,1240.0,2
Windows,1250.0,42
Windows,1267.0,7
Windows,1283.0,1
Windows,1300.0,3
Windows,1320.0,8139
Windows,1340.0,2
Windows,1365.0,2
Windows,1367.0,13
Windows,1375.0,3
Windows,1380.0,4
Windows,1400.0,1
Windows,1410.0,6
Windows,1425.0,4
Windows,1428.0,1
Windows,1440.0,7
Windows,1450.0,1
Windows,1455.0,2
Windows,1500.0,1053
Windows,1505.0,1
Windows,1533.0,1
Windows,1567.0,1
Windows,1575.0,1
Windows,1600.0,172
Windows,1700.0,2
Windows,1750.0,1
Windows,1760.0,1
Windows,1771.0,1
Windows,1800.0,1
Windows,1825.0,1
Windows,1929.0,1
Windows,2025.0,1
Windows,2038.0,1
Windows,2100.0,5
Windows,2133.0,1
Windows,2160.0,1
Windows,2300.0,3
Windows,2400.0,3
Windows,2550.0,1
Windows,2650.0,1
Windows,2725.0,1
Windows,2775.0,1
Windows,2800.0,1
Windows,3000.0,7
Windows,3167.0,1
Windows,3175.0,1
Windows,3250.0,2
Windows,3333.0,1
Windows,3400.0,1
Windows,3433.0,1
Windows,3500.0,1
Windows,4248.0,1
Windows,4450.0,1
Windows,4600.0,1
Windows,4800.0,4
Windows,5106.0,1
Windows,5149.0,1
Windows,5469.0,1
Windows,6433.0,1
Windows,7626.0,1
Windows,7813.0,1
Windows,9337.0,1
Windows,14659.0,1
Windows,15038.0,1
Windows,15819.0,1
Windows,16291.0,1
Windows,16523.0,1
Windows,16926.0,1
Windows,19875.0,1
Windows,21656.0,1
Windows,22591.0,1
Windows,24295.0,1
Windows,26163.0,1
Windows,28473.0,1
Windows,30416.0,1
Windows,31552.0,1
Windows,33649.0,1
Windows,34119.0,1
Windows,38655.0,1
Windows,40768.0,1
Windows,41675.0,1
Windows,42212.0,1
Windows,46949.0,1
Windows,49091.0,1
Windows,51000.0,1
Windows,51100.0,1
Windows,62027.0,1
Windows,72285.0,1
Windows,72652.0,1
Windows,75900.0,1
Windows,79295.0,1
Windows,87960.0,1
Windows,109353.0,1
Windows,113250.0,1
Windows,115856.0,1
Windows,134781.0,1
Windows,139668.0,1
Windows,167838.0,1
Windows,171943.0,1
Windows,174189.0,1
Windows,180480.0,1
Windows,189333.0,1
Windows,195200.0,1
Windows,198012.0,1
Windows,222083.0,1
Windows,295061.0,1
Windows,300000.0,2886
Windows Phone,300000.0,8
iOS,400.0,6
iOS,500.0,2
iOS,600.0,61
iOS,300000.0,22999
